['4237053', '2018-02-26 17:06:02', 'skylab_tracker_0001', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '7.50', '-115.00', '868.100', '51.918500', '4.245000', '4.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4237054', '2018-02-26 17:06:02', 'skylab_tracker_0001', 'skylab_main', '0000024B080E0021', '', 'SF9BW125', '-1.50', '-119.00', '868.100', '51.918500', '4.245000', '4.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4237055', '2018-02-26 17:06:02', 'skylab_tracker_0001', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '11.80', '-59.00', '868.100', '51.918500', '4.245000', '4.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4237068', '2018-02-26 17:07:02', 'skylab_tracker_0001', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '11.80', '-58.00', '868.300', '51.918300', '4.245100', '-5.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4237069', '2018-02-26 17:07:02', 'skylab_tracker_0001', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '6.80', '-110.00', '868.300', '51.918300', '4.245100', '-5.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4237362', '2018-02-26 17:44:02', 'skylab_tracker_0001', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '9.80', '-111.00', '868.100', '51.918800', '4.246700', '6.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4237363', '2018-02-26 17:44:02', 'skylab_tracker_0001', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '4.50', '-91.00', '868.100', '51.918800', '4.246700', '6.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4237843', '2018-02-26 18:48:03', 'skylab_tracker_0001', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '10.20', '-65.00', '868.100', '51.918000', '4.244700', '-17.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4237844', '2018-02-26 18:48:03', 'skylab_tracker_0001', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '2.20', '-117.00', '868.100', '51.918000', '4.244700', '-17.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4237845', '2018-02-26 18:48:03', 'skylab_tracker_0001', 'skylab_main', '0000024B080E0021', '', 'SF9BW125', '-5.80', '-117.00', '868.100', '51.918000', '4.244700', '-17.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
