['1443828', '2017-04-28 15:30:45', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-4.50', '-111.00', '868.500', '46.455718', '15.665314', '270.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443831', '2017-04-28 15:31:40', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-9.20', '-109.00', '867.500', '46.455718', '15.665314', '270.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443835', '2017-04-28 15:32:36', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-5.50', '-113.00', '868.100', '46.455718', '15.665314', '270.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443953', '2017-04-28 16:18:37', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-3.20', '-112.00', '867.700', '46.455718', '15.665314', '270.0', '1.00', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443954', '2017-04-28 16:18:56', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-4.20', '-112.00', '867.900', '46.455718', '15.665314', '270.0', '1.10', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443955', '2017-04-28 16:19:14', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-3.00', '-113.00', '868.100', '46.455718', '15.665314', '270.0', '1.10', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443956', '2017-04-28 16:19:32', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-3.50', '-110.00', '868.300', '46.455718', '15.665314', '270.0', '1.10', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443962', '2017-04-28 16:19:50', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-4.20', '-113.00', '868.500', '46.455718', '15.665314', '270.0', '1.10', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443963', '2017-04-28 16:21:02', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-4.80', '-112.00', '867.700', '46.455718', '15.665314', '270.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443966', '2017-04-28 16:21:40', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-4.20', '-114.00', '868.100', '46.455718', '15.665314', '270.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443967', '2017-04-28 16:21:58', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-5.00', '-113.00', '868.300', '46.455718', '15.665314', '270.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443968', '2017-04-28 16:22:15', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-3.50', '-113.00', '868.500', '46.455718', '15.665314', '270.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
